Описание события,Класс (тэг) события,Длительность события (в минутах)
Провести совещание,"Встречи, Работа",157
Купить подарок,"Отношения, Покупки",181
Сходить на массаж,"Здоровье, Красота",67
Заняться рисованием,Хобби,67
Сходить на встречу с друзьями,"Встречи, Отношения",228
Сходить к врачу,Здоровье,94
Посетить театр,Развлечения,120
Починить кран,Быт,93
Посетить лекцию по истории,Быт,60
Почитать книгу,Хобби,116
Сходить в спортзал,Спорт,117
Сходить в кафе,Развлечения,67
Посетить выставку,Развлечения,129
Сделать покупки в супермаркете,"Быт, Покупки",167
Сходить в музей,Быт,67
Заняться йогой,Спорт,80
Постирать одежду,Быт,68
Сходить на свидание,"Встречи, Отношения",243
Погулять по парку,Быт,109
Поиграть на гитаре,"Развлечения, Хобби",134
Сходить на тренировку,Спорт,104
Поработать над проектом,Работа,166
Посмотреть фильм в кинотеатре,"Здоровье, Развлечения",152
Посмотреть сериал,"Здоровье, Развлечения",245
Сделать маникюр,"Быт, Красота",124
Покрасить волосы,Красота,75
Заполнить налоговую декларацию,Документы,74
Посмотреть новости,Здоровье,120
Посетить курс английского,Образование,90
Принять ванну,Быт,104
Проверить почту,Быт,71
Сходить на деловую встречу,"Встречи, Работа",162
Проверить документы,Документы,83
Позвонить родителям,Отношения,66
Погладить одежду,Быт,79
Записаться в спортзал,Спорт,106
Послушать подкаст,Быт,104
Сделать отчёт по проекту,"Быт, Работа",223
Приготовить ужин,"Быт, Отношения",84
Провести семейный ужин,Отношения,74
Поехать на дачу,Путешествия,529
Записаться к стоматологу,Здоровье,71
Приготовить завтрак,Быт,79
Поехать в путешествие,Путешествия,295
Навести порядок в квартире,Быт,120
Погулять с собакой,Быт,56
Сделать зарядку,"Быт, Спорт",220
Поиграть в настольные игры,"Развлечения, Хобби",195
Посетить конференцию,Быт,89
Написать резюме,Работа,113
Купить продукты,Покупки,74
Погулять,"Развлечения, Хобби",30
Сходить в магазин,Покупки,30
Купить попугая,Покупки,15
Продать попугая,Покупки,20
Осмотр квартиры,"Покупки, Встречи",60
Покрасить машину,Быт,50
Съездить в автосалон,Быт,80
Помыть машину,Быт,20
Проверить уроки у сына,"Отношения, Быт",25
Посмотреть телевизор,"Развлечения, Хобби",60
Поменять постельное бельё,Быт,7
Погладить,Быт,20
Постирать,Быт,9
Генеральная уборка,Быт,120
Вытереть пыть,Быт,10
Помыть посуду,Быт,10
Поездка в город,Развлечения,180
Поход в тц,Развлечения,140
Записать на курсы,Образование,27
Просмотреть пробный урок,Образование,30
Позвонить в жкх,Быт,15
Оплатить квитанцию,Быт,5
Выпить с друзьями,"Отношения, Встречи",130
Сходить в парк,"Развлечения, Спорт",100
Ночная прогулка,"Развлечения, Спорт",95
Посмотреть на звёзды,"Развлечения, Хобби",38
День рождение сына,"Встречи, Развлечения",250
Поченить крышу на даче,Быт,200
Затопить баню,Быт,40
Сходить на пару,Образование,120
Провести урок,Работа,60
Поработать,Работа,50
Написать сочинение,Образование,110
Сделать уроки,Образование,150
Провести собрание,Работа,120
Дописать отчёт,Работа,20
Приготовить поесть,Быт,60
Закатать варенье,Быт,70
Съедить к бабушке,"Встречи, Путешествия",300
Съездить на дачу,"Встречи, Путешествия",300
Выпонить работу по дому,Быт,45
Сходить в цирк,Развлечения,120
Научиться готовить оладьи,"Хобби, Образование",90
Полить цветы,Быт,10
Назначить встречу с нотариусом,"Встречи, Документы",10
Сходить в мфц,Документы,60
Выпить чашечку кофе с другом,Встречи,25
Выучить 30 иероглифов,"Образование, Хобби",25
Развестись с мужем,"Отношения, Документы",100
Сдать детей в детдом,"Отношения, Документы",30
Записаться на маникюр,Красота,15
Записаться на стрижку,Красота,5
Сходить в салон красоты,Красота,120
Повесится,Здоровье,15
лекции в Мидтауне,Образование,120
патрулирование Квинса,"Работа, Хобби",150
ловля мелких воришек,"Работа, Хобби",69
помочь тёте Мэй с садом,Быт,30
починить протекающий кран,Быт,25
срочная фотосессия для Джона Джеймсона,"Хобби, Встречи",100
тренировка новых веб-патронов,"Работа, Хобби, Спорт",30
тестирование улучшенного спайдер-гаджета,"Работа, Хобби",25
перехват грузовика с оружием у «Криминального синдиката»,"Работа, Хобби",50
свидание,Отношения,90
встреча с Доктором Стрэнджем,Встречи,30
патруль в районе Чайнатауна,"Работа, Хобби",50
проверка новых угроз,"Работа, Хобби",20
помощь Невероятному Халку,"Работа, Хобби",30
кино с Недом,"Встречи, Развлечения",120
тренировка с Железным Человеком,Спорт,100
ремонт костюма,Быт,35
Ловля Осьминота,"Хобби, Работа",70
отдых крыше с горячим какао,Развлечения,30
написать твит,Хобби,15
разоблачить фейковые новости CNN,Работа,50
звонок от гениального адвоката,Работа,20
интервью для моего нового шоу,Хобби,45
Летим в Флориду,Путешествия,120
встреча с самыми умными людьми,"Образование, Хобби, Встречи",60
"Обсуждить, как сделать Америку ещё величайшей","Хобби, Работа",30
подписание коллекционных кепок MAGA,"Хобби, Работа",50
Судебное заседание,Документы,110
ралли в Техасе,"Хобби, Путешествия",100
Запись нового эпизода подкаста,"Хобби, Встречи",40
совещание по запуску Trump Coin,"Работа, Встречи",130
День в офисе Trump Tower,Работа,1440
Подписываю документы,"Работа, Документы",40
даю интервью Fox News,"Хобби, Встречи",110
ужин с Иванкой и Дональдом-младшим,"Встречи, Отношения",45
Гольф,Хобби,115
сбор средств для кампании,Работа,120
Церковь,"Хобби, Здоровье",60
большой семейный бранч,"Встречи, Отношения",60
доклады Сената и Военной коллегии,Работа,95
переписка с Вольтером,"Хобби, Отношения",65
чтение новых сочинений Дидро,Образование,70
приём у фаворита,Встречи,48
Инспекция Академии наук,Работа,120
совещание с графом Паниным о делах польских,"Работа, Встречи",120
Путешествие в Царское Село,Путешествия,500
Осмотр новых павильонов,Работа,300
чтение трактата о разделении властей,Образование,45
лёгкий ужин с вином из Крыма,Быт,30
Аудиенция с послом Пруссии,"Работа, Встречи",120
указ о расширении губерний,"Работа, Документы",15
бал в Зимнем,"Развлечения, Встречи",200
Заседание Комиссии по составлению нового уложения,Работа,110
прогулка в Летнем саду,"Работа, Здоровье",30
чтение «Энциклопедии»,Образование,50
Приём доклада от Суворова,Работа,30
совещание о колонизации Новороссии,Работа,120
итальянская опера,Развлечения,120
Молитва в придворной церкви,"Здоровье, Быт",30
тихий час с мемуарами,"Образование, Хобби",60
сходить за водой к колодцу,Быт,20
отвести корову Маньку на выпас,Быт,30
помочь деду дрова колоть,Быт,20
Поучить математику,Образование,30
Окучить картошку,Быт,100
ловля рыбы в речке с пацанами,"Встречи, Хобби, Развлечения",160
испечь пироги с малиной,Быт,50
написать сочинение на тему «Моя мечта»,Образование,60
посидеть с дедом на крыльце,"Быт, Встречи",20
послушать рассказы деда о войне,"Образование, Развлечения",40
нарисовать в тетрадке космос,Хобби,30
помечтать о цивилизованной жизни,Хобби,19
последний день в школе,"Образование, Встречи",1440
убрать класс,Быт,20
спеть песню,Хобби,5
надуть шарики,Быт,15
заказать пиццу,Быт,10
дать пинок под зад однокласснику,"Развлечения, Хобби",5
подергать Ленку за косички,"Развлечения, Хобби",10
посасать сосульку,"Развлечения, Хобби",3
поесть в школьной столовой,Здоровье,30
спрятаться в туалете,"Здоровье, Хобби, Развлечения",20
разрисовать парту,"Развлечения, Хобби",10
прикрикнуть на директора,"Развлечения, Хобби",5
зайти к завучу на чай,"Развлечения, Хобби",15
разобрать крышу в классе,"Развлечения, Хобби",120
покрасить шкаф,Быт,30
смыть с доски,Быт,5
намочить тряпочку,Быт,5
поздравить учительницу,Быт,15
ответьти на сообщение,Быт,15
сделать геометрию,Образование,40
ответить на вопрос,Образование,10
написать контрольную,Образование,60
сдать ЕГЭ,Образование,240
пройтись маршем,"Развлечения, Хобби, Спорт",120
выучить стих,Образование,20
разобрать рюкзак,Быт,5
купить ластик,Покупки,20
стырить ручку,"Развлечения, Хобби",6
одолжить пенал,Встречи,3
порвать рюкзак,"Развлечения, Хобби",5
стырить сотку,"Развлечения, Хобби",2
сдать мукулатуру,Хобби,15
сделать опись населения,"Работа, Хобби",500
придумать название для страны,Хобби,12
спеть гимн,"Хобби, Развлечения",5
казнить неуча,"Хобби, Развлечения",15
поставить двойку,Образование,2
объявить войну,"Работа, Здоровье",5
поставить ультиматум,"Развлечения, Хобби",10
собрать плиту,"Развлечения, Хобби",40
вызвать мастера,Встречи,10
заработать на бургер,Работа,60
поехать на ярмарку в соседнее село,Путешествия,300
продать мёд и варенье,Работа,60
покупаться в пруду,"Развлечения, Хобби",60
половить лягушек,"Развлечения, Хобби",40
работа в огороде,Быт,100
изучить грамматику русского языка,Образование,30
поесть доширак с китайскими приправами,"Развлечения, Хобби",30
Ответить маме в WeChat,"Быт, Отношения",10
экзекьютив-брифинга,"Работа, Встречи",120
звонок с Apple,Работа,20
Инспекция нового завода в Техасе,Работа,350
встреча с Министерством промышленности Южной Кореи,"Работа, Встречи",120
презентация новой платформы Galaxy AI+,Работа,60
одобрение бюджета на квантовые вычисления,"Работа, Документы",30
Посещение Samsung Biologics,Работа,100
Велеть расширить мощности рабам,Быт,10
стратегическая сессия с советом директоров,Работа,120
запуск программы «Zero Waste to Landfill»,Работа,60
разослать внутреннее письмо сотрудникам,Работа,10
Рабочий завтрак с президентом Южной Кореи,Встречи,30
визит в Samsung Innovation Museum,"Встречи, Путешествия",55
тихо поработать в кабинете,Работа,50
анализ данных с двухфotonной микроскопии,Работа,110
обсуждаем паттерны активности в префронтальной коре,"Работа, Встречи",90
правка статьи для Nature Neuroscience,Работа,30
Лекция аспирантам: «Нейропластичность и её пределы»,"Образование, Работа",120
тестируем новый имплантируемый чип,"Работа, Развлечения",100
Zoom с коллегами из Цюриха,"Работа, Встречи",50
вживление вирусных векторов в стриатум крыс,"Работа, Развлечения",200
Пишу грант на изучение нейронных коррелятов сознания при коме,"Образование, Хобби",300
консультация с клиникой,"Здоровье, Встречи",20
помогаю интерпретировать fMRI-данные пациента,Работа,60
похвалить Лин,Отношения,5
поругать себя,Быт,5
Анализирую данные с помощью Python-скриптов,Работа,60
записать идею в блокнот,"Хобби, Развлечения",15
