Описание события,Класс (тэг) события,Длительность события (в минутах)
Мама др,Встречи,180
Тренировка бассейн,"Работа, Спорт",45
Тренировка Катя,"Работа, Спорт",60
Тренировка кск,"Работа, Спорт",90
Тренировка теннис,"Работа, Спорт",60
День рождения Саша,"Встречи, Отношения, Развлечения",120
Родители годовщина,Встречи,180
Элис клиника,"Работа, Здоровье",30
УЗИ Якушева,"Работа, Здоровье",15
Прием у терапевта,Здоровье,15
Прием у гинеколога,Здоровье,25
Сдать мазки,Здоровье,10
Сдать анализы,Здоровье,10
Анализы лаборатория,"Работа, Здоровье",20
Пикник,"Встречи, Развлечения",180
Уборка гараж,Быт,70
Погасить задолженность,Документы,10
Погасить кредитку,Документы,10
Оплатить ЖКХ,"Документы, Работа",7
Торт Алисе,"Работа, Хобби, Покупки",240
Аукцион,"Работа, Покупки",300
СОбрать мебель,"Быт, Работа",120
Разобраться в шкафу,Быт,30
Поменять плитку,"Быт, Работа",300
Отмыть ванную,"Быт, Работа",100
Рекламная интеграция,Работа,60
Джей рентген ноги,"Работа, Здоровье",20
Альма расчистка,"Работа, Здоровье",40
Вакцинация Алла,"Работа, Здоровье",15
Собрать посуду,"Быт, Работа",25
Упаковать книги,"Быт, Работа",25
Провести секвенирование,Работа,60
Получить пробирки,Работа,10
Забрать заказ,"Быт, Покупки",10
Обновить соглашение,"Документы, Работа",8
Заполнить таблицу,"Документы, Работа",15
Посчитать налоги,"Документы, Работа",27
Купить новый матрац,Покупки,60
Просмотр земли,"Работа, Встречи, Документы",120
Геодезист,"Работа, Документы, Встречи",120
Смена на Молодежной,Работа,1200
Заменить сантехнику,Быт,300
Магазины Соня,"Развлечения, Покупки",120
Стерилизация Эсме,"Здоровье, Работа",180
Баня на Комсомольской,Развлечения,180
Починить фонарь,"Быт, Работа",30
Очистить водосток,"Быт, Работа",10
Созвон по проекту,Работа,45
Тесты ТУИС,"Образование, Работа",45
Тестирование проекта,"Образование, Работа",120
Довязать свитер,"Хобби, Работа",60
Сходить в ресторан (Катя),Встречи,120
Санация кошка,"Здоровье, Работа",120
Собрать вещи в Египет,"Путешествия, Быт",70
Получить визу,"Путешествия, Документы",30
Отдать документы на визу,Документы,70
Самолет Анталия,Путешествия,560
Оформение загранника,Документы,40
Хайкинг,"Хобби, Работа, Спорт",600
Мелирование на ростовской,"Красота, Работа",45
Парикмахерская,"Красота, Работа",55
Кастрация Влад,"Здоровье, Работа",60
Ресницы у Сони (наращивание),"Красота, Работа",60
Конный поход,"Хобби, Спорт, Работа",1000
Сборы в поход,Быт,40
Кафе ,"Встречи, Развлечения",120
Забрать и настроить монитор,"Быт, Покупки",50
Купить стулья,Покупки,30
Тренировка йога,"Спорт, Работа, Хобби",45
Стречинг на магистральной,"Спорт, Работа, Хобби",60
Регистрация на гринкарту,Документы,30
Купить билеты в театр,Покупки,10
Репетиция постановки,"Работа, Хобби",140
Репетитор математика,Образование,60
Гончарная мастерская,"Хобби, Развлечения, Работа",130
Прием орнитолога,"Здоровье, Работа",60
Забрать огурцы,Быт,15
Перевезти кур,"Быт, Работа",60
Пофиксить баги,"Работа, Образование",100
Приобрести куртку,Покупки,30
Записать трек,"Хобби, Работа",180
Принять поставку,Работа,12
Встреча с клиентом,"Встречи, Работа",45
Созвон с клиентом,"Встречи, Работа",40
Повесить шторы в зал,Быт,15
Постирать вольтрапы,Быт,12
Линал,"Образование, Работа",180
Пробник по русскому ,Образование,225
Экзамен в автошколе,Образование,60
Занятие с инструктором,Образование,60
Забрать права,Документы,15
Приватизация квартиры,Документы,50
Прием у нотариуса,Встречи,50
Психолог,Здоровье,60
Прогнать автотесты,"Работа, Образование",20
Поменять резину на зимнюю,"Быт, Работа",40
Ужин Тихоновы,"Встречи, Развлечения",210
Прогулка с Коршуновыми,"Встречи, Развлечения",200
Завтрак с Олей,"Встречи, Развлечения",50
Командировка Караганда,"Работа, Путешествия",8640
Пробежка в парке,"Спорт, Хобби",55
Велогонка 30км,Спорт,300
Тренировка перед марафоном,Спорт,600
Марафон,Спорт,240
Погладить одежду,Быт,20
Подготовиться к совещанию,Работа,30
Отвезти велосипеды в гараж,Быт,40
Убраться в вольере,"Быт, Работа",30
Провести пару у 510 группы,Работа,90
Проверить самостоятельные работы,Работа,90
Пара по подготовке к ВКР,"Образование, Работа",90
Напомнить Ване о дедлайне,"Работа, Образование",5
